ID_Contrato,Produto,Valor_Nocional,Taxa_Contratada_AA,Prazo_Remanescente_Meses,Indexador,Rating_2682,Dias_Atraso,PD,LGD,EAD
1040,Parcelado_Loja,41881.9,0.2346,7,PRE,C,0,0.03,0.65,41881.9
1041,Emprestimo_Pessoal,12171.71,0.2547,17,PRE,B,5,0.01,0.75,12171.71
1042,Parcelado_Loja,38912.01,0.1605,39,PRE,C,0,0.03,0.65,38912.01
1043,Parcelado_Loja,20562.85,0.2152,36,PRE,AA,0,0.001,0.65,20562.85
1044,Emprestimo_Pessoal,30291.84,0.2687,40,POS-CDI,AA,45,0.001,0.75,30291.84
1045,Emprestimo_Pessoal,31810.76,0.2034,45,PRE,AA,0,0.001,0.75,31810.76
1046,Parcelado_Loja,18956.01,0.1701,4,PRE,E,0,0.3,0.65,18956.01
1047,Cartao_Credito,25874.45,0.2378,38,PRE,C,15,0.03,0.85,29233.96
1048,Emprestimo_Pessoal,20945.04,0.2683,25,POS-CDI,A,0,0.005,0.75,20945.04
1049,Cartao_Credito,3922.07,0.1314,5,POS-CDI,B,0,0.01,0.85,4560.95
1050,Cartao_Credito,22139.69,0.2598,30,POS-CDI,B,200,0.01,0.85,26542.79
1051,Cartao_Credito,5320.97,0.2679,12,PRE,F,0,0.5,0.85,6065.91
1052,Emprestimo_Pessoal,20548.53,0.2031,4,PRE,C,5,0.03,0.75,20548.53
1053,Cartao_Credito,29849.46,0.297,24,POS-CDI,A,0,0.005,0.85,35057.39
1054,Emprestimo_Pessoal,29181.04,0.2616,29,PRE,A,0,0.005,0.75,29181.04
1055,Cartao_Credito,33299.75,0.2593,9,PRE,AA,0,0.001,0.85,38230.84
1056,Parcelado_Loja,5215.44,0.2546,4,POS-CDI,A,100,0.005,0.65,5215.44
1057,Parcelado_Loja,32780.1,0.1471,24,PRE,A,0,0.005,0.65,32780.1
1058,Emprestimo_Pessoal,15951.33,0.1591,14,PRE,AA,0,0.001,0.75,15951.33
1059,Parcelado_Loja,20252.77,0.2035,5,PRE,C,0,0.03,0.65,20252.77
1060,Parcelado_Loja,42970.32,0.1675,18,PRE,A,0,0.005,0.65,42970.32
1061,Cartao_Credito,947.01,0.1947,42,PRE,G,0,0.7,0.85,1079.89
1062,Emprestimo_Pessoal,29626.43,0.2799,19,PRE,AA,5,0.001,0.75,29626.43
1063,Cartao_Credito,30136.34,0.2684,12,POS-CDI,A,0,0.005,0.85,34957.17
1064,Cartao_Credito,20134.66,0.2334,18,PRE,A,0,0.005,0.85,23616.13
1065,Cartao_Credito,12232.88,0.2745,17,POS-CDI,AA,0,0.001,0.85,14234.78
1066,Cartao_Credito,12116.36,0.2611,30,PRE,A,0,0.005,0.85,14095.63
1067,Cartao_Credito,44243.63,0.1972,24,PRE,AA,0,0.001,0.85,54197.76
1068,Cartao_Credito,22380.21,0.1562,11,POS-CDI,AA,0,0.001,0.85,25180.55
1069,Cartao_Credito,16879.02,0.2126,35,POS-CDI,AA,0,0.001,0.85,20436.85
1070,Emprestimo_Pessoal,22714.49,0.2525,23,PRE,AA,0,0.001,0.75,22714.49
1071,Parcelado_Loja,33634.82,0.1986,17,POS-CDI,B,0,0.01,0.65,33634.82
1072,Cartao_Credito,7714.95,0.24,1,POS-CDI,AA,0,0.001,0.85,8912.49
1073,Cartao_Credito,22746.97,0.137,15,POS-CDI,A,0,0.005,0.85,26031.89
1074,Cartao_Credito,29600.28,0.2546,32,PRE,B,5,0.01,0.85,35114.49
1075,Cartao_Credito,47454.88,0.2663,9,POS-CDI,A,0,0.005,0.85,54692.88
1076,Cartao_Credito,13000.13,0.2472,15,POS-CDI,E,0,0.3,0.85,14987.16
1077,Cartao_Credito,18282.91,0.2941,28,POS-CDI,B,0,0.01,0.85,20725.05
1078,Parcelado_Loja,19278.25,0.2688,24,PRE,B,0,0.01,0.65,19278.25
1079,Parcelado_Loja,30474.14,0.2826,35,PRE,AA,0,0.001,0.65,30474.14
1080,Cartao_Credito,18158.24,0.288,22,PRE,B,0,0.01,0.85,20197.42
1081,Parcelado_Loja,26908.84,0.2642,27,PRE,C,0,0.03,0.65,26908.84
1082,Emprestimo_Pessoal,39198.62,0.2414,19,POS-CDI,AA,0,0.001,0.75,39198.62
1083,Cartao_Credito,35416.59,0.121,45,PRE,AA,0,0.001,0.85,43009.65
1084,Emprestimo_Pessoal,22595.25,0.2038,12,PRE,AA,0,0.001,0.75,22595.25
1085,Emprestimo_Pessoal,43278.7,0.2228,20,POS-CDI,B,0,0.01,0.75,43278.7
1086,Cartao_Credito,28127.94,0.1747,1,PRE,A,0,0.005,0.85,32127.79
1087,Parcelado_Loja,27225.34,0.1773,21,PRE,B,0,0.01,0.65,27225.34
1088,Emprestimo_Pessoal,2192.29,0.293,45,PRE,AA,15,0.001,0.75,2192.29
1089,Cartao_Credito,49341.3,0.2805,1,PRE,C,45,0.03,0.85,58008.1
1090,Emprestimo_Pessoal,6587.06,0.2729,10,PRE,AA,0,0.001,0.75,6587.06
1091,Emprestimo_Pessoal,11940.98,0.1931,47,POS-CDI,AA,0,0.001,0.75,11940.98
1092,Emprestimo_Pessoal,3058.99,0.1225,32,PRE,A,0,0.005,0.75,3058.99
1093,Emprestimo_Pessoal,32180.15,0.1344,39,PRE,AA,0,0.001,0.75,32180.15
1094,Parcelado_Loja,11622.71,0.1762,22,PRE,AA,0,0.001,0.65,11622.71
1095,Emprestimo_Pessoal,9410.52,0.1228,18,PRE,AA,15,0.001,0.75,9410.52
1096,Emprestimo_Pessoal,4883.5,0.1231,46,PRE,A,0,0.005,0.75,4883.5
1097,Emprestimo_Pessoal,5613.79,0.285,32,PRE,E,200,0.3,0.75,5613.79
1098,Parcelado_Loja,29441.2,0.2471,27,PRE,C,0,0.03,0.65,29441.2
1099,Emprestimo_Pessoal,34566.29,0.1756,28,POS-CDI,A,0,0.005,0.75,34566.29
1100,Emprestimo_Pessoal,20170.26,0.1439,18,PRE,AA,0,0.001,0.75,20170.26
1101,Parcelado_Loja,24254.91,0.2121,39,PRE,A,5,0.005,0.65,24254.91
1102,Parcelado_Loja,34455.4,0.121,29,POS-CDI,B,0,0.01,0.65,34455.4
1103,Parcelado_Loja,1360.3,0.2889,18,PRE,AA,0,0.001,0.65,1360.3
1104,Emprestimo_Pessoal,16494.97,0.1947,44,PRE,AA,5,0.001,0.75,16494.97
1105,Parcelado_Loja,48668.34,0.1924,8,PRE,AA,0,0.001,0.65,48668.34
1106,Parcelado_Loja,29215.56,0.1903,31,PRE,B,0,0.01,0.65,29215.56
1107,Emprestimo_Pessoal,13084.12,0.1325,34,PRE,AA,0,0.001,0.75,13084.12
1108,Parcelado_Loja,26325.64,0.2349,7,PRE,C,0,0.03,0.65,26325.64
1109,Emprestimo_Pessoal,17461.35,0.2519,36,PRE,AA,0,0.001,0.75,17461.35
1110,Cartao_Credito,26846.13,0.2417,18,PRE,AA,0,0.001,0.85,31291.95
1111,Parcelado_Loja,6724.2,0.1449,38,PRE,A,0,0.005,0.65,6724.2
1112,Cartao_Credito,7069.38,0.2242,9,PRE,A,0,0.005,0.85,8498.13
1113,Emprestimo_Pessoal,7605.35,0.2225,9,POS-CDI,AA,0,0.001,0.75,7605.35
1114,Parcelado_Loja,47021.08,0.2763,46,POS-CDI,AA,0,0.001,0.65,47021.08
1115,Emprestimo_Pessoal,36778.5,0.1882,8,POS-CDI,AA,5,0.001,0.75,36778.5
1116,Cartao_Credito,8537.9,0.1869,35,PRE,AA,5,0.001,0.85,10587.42
1117,Emprestimo_Pessoal,9823.28,0.2313,18,PRE,AA,0,0.001,0.75,9823.28
1118,Parcelado_Loja,36676.06,0.234,5,PRE,F,0,0.5,0.65,36676.06
1119,Parcelado_Loja,8230.11,0.2045,14,PRE,A,0,0.005,0.65,8230.11
1120,Cartao_Credito,12110.78,0.1998,28,PRE,A,0,0.005,0.85,14875.95
1121,Emprestimo_Pessoal,48185.67,0.2089,30,PRE,AA,0,0.001,0.75,48185.67
1122,Parcelado_Loja,13137.67,0.275,4,PRE,AA,0,0.001,0.65,13137.67
1123,Cartao_Credito,33250.8,0.203,39,PRE,AA,0,0.001,0.85,40554.78
1124,Parcelado_Loja,48942.25,0.2892,20,POS-CDI,A,0,0.005,0.65,48942.25
1125,Parcelado_Loja,19027.69,0.2107,25,PRE,A,0,0.005,0.65,19027.69
1126,Emprestimo_Pessoal,1367.04,0.2909,28,PRE,AA,0,0.001,0.75,1367.04
1127,Parcelado_Loja,12585.29,0.2699,12,PRE,B,0,0.01,0.65,12585.29
1128,Emprestimo_Pessoal,41628.42,0.1852,2,PRE,A,0,0.005,0.75,41628.42
1129,Parcelado_Loja,43298.14,0.2755,43,PRE,AA,0,0.001,0.65,43298.14
1130,Cartao_Credito,38541.71,0.1398,14,PRE,AA,15,0.001,0.85,43515.08
1131,Parcelado_Loja,6098.94,0.2865,22,PRE,A,0,0.005,0.65,6098.94
1132,Emprestimo_Pessoal,39877.76,0.2337,31,POS-CDI,B,0,0.01,0.75,39877.76
1133,Emprestimo_Pessoal,45974.55,0.1298,23,POS-CDI,AA,0,0.001,0.75,45974.55
1134,Cartao_Credito,30230.17,0.236,20,POS-CDI,AA,0,0.001,0.85,37024.22
1135,Parcelado_Loja,47073.33,0.2954,38,POS-CDI,A,0,0.005,0.65,47073.33
1136,Parcelado_Loja,41428.52,0.1326,4,PRE,AA,0,0.001,0.65,41428.52
1137,Cartao_Credito,33515.09,0.2198,15,PRE,A,0,0.005,0.85,39245.13
1138,Parcelado_Loja,29070.67,0.2546,24,PRE,A,0,0.005,0.65,29070.67
1139,Parcelado_Loja,17754.4,0.2658,25,PRE,AA,0,0.001,0.65,17754.4
1140,Emprestimo_Pessoal,8384.73,0.1945,1,PRE,AA,0,0.001,0.75,8384.73
1141,Parcelado_Loja,30445.22,0.1567,7,POS-CDI,A,0,0.005,0.65,30445.22
1142,Parcelado_Loja,16246.52,0.1276,31,PRE,AA,15,0.001,0.65,16246.52
1143,Cartao_Credito,43388.71,0.2244,12,PRE,AA,0,0.001,0.85,48062.71
1144,Cartao_Credito,49670.18,0.2015,42,PRE,B,0,0.01,0.85,58111.87
1145,Emprestimo_Pessoal,37745.17,0.2908,5,POS-CDI,AA,0,0.001,0.75,37745.17
1146,Parcelado_Loja,4978.84,0.1309,44,PRE,A,0,0.005,0.65,4978.84
1147,Parcelado_Loja,14789.94,0.2434,42,POS-CDI,AA,0,0.001,0.65,14789.94
1148,Parcelado_Loja,5900.93,0.1245,38,POS-CDI,A,0,0.005,0.65,5900.93
1149,Emprestimo_Pessoal,32700.33,0.1509,12,POS-CDI,AA,0,0.001,0.75,32700.33
1150,Emprestimo_Pessoal,38376.95,0.2016,39,POS-CDI,F,0,0.5,0.75,38376.95
1151,Cartao_Credito,46320.9,0.2019,18,POS-CDI,B,5,0.01,0.85,53647.07
1152,Emprestimo_Pessoal,22189.53,0.2434,2,PRE,AA,0,0.001,0.75,22189.53
1153,Parcelado_Loja,45118.09,0.2838,10,PRE,A,0,0.005,0.65,45118.09
1154,Parcelado_Loja,43955.61,0.235,15,PRE,AA,0,0.001,0.65,43955.61
1155,Emprestimo_Pessoal,16201.19,0.2916,30,PRE,A,0,0.005,0.75,16201.19
1156,Parcelado_Loja,43510.58,0.2787,44,POS-CDI,C,0,0.03,0.65,43510.58
1157,Parcelado_Loja,19095.78,0.2252,17,PRE,A,45,0.005,0.65,19095.78
1158,Emprestimo_Pessoal,15195.03,0.2701,4,POS-CDI,AA,0,0.001,0.75,15195.03
1159,Emprestimo_Pessoal,32629.2,0.2357,7,PRE,A,0,0.005,0.75,32629.2
1160,Parcelado_Loja,16754.87,0.1341,41,PRE,AA,45,0.001,0.65,16754.87
1161,Parcelado_Loja,31695.33,0.2533,31,POS-CDI,B,0,0.01,0.65,31695.33
1162,Parcelado_Loja,30686.67,0.1371,39,PRE,A,0,0.005,0.65,30686.67
1163,Cartao_Credito,28390.23,0.2269,34,PRE,AA,0,0.001,0.85,32379.5
1164,Cartao_Credito,19330.78,0.2465,6,PRE,AA,0,0.001,0.85,23828.11
1165,Cartao_Credito,27650.74,0.132,38,PRE,B,0,0.01,0.85,30519.38
1166,Emprestimo_Pessoal,30026.03,0.1615,45,PRE,B,0,0.01,0.75,30026.03
1167,Cartao_Credito,27511.5,0.2848,34,PRE,AA,0,0.001,0.85,32016.52
1168,Emprestimo_Pessoal,22498.76,0.2309,44,PRE,AA,0,0.001,0.75,22498.76
1169,Emprestimo_Pessoal,1226.02,0.1643,15,POS-CDI,A,0,0.005,0.75,1226.02
1170,Cartao_Credito,29559.55,0.2443,14,POS-CDI,AA,0,0.001,0.85,33634.16
1171,Cartao_Credito,8838.0,0.2274,6,PRE,AA,0,0.001,0.85,10775.39
1172,Cartao_Credito,32307.51,0.2103,37,PRE,AA,0,0.001,0.85,39853.03
1173,Parcelado_Loja,38087.54,0.2957,32,POS-CDI,AA,0,0.001,0.65,38087.54
1174,Cartao_Credito,25272.04,0.243,3,PRE,A,0,0.005,0.85,30677.39
1175,Parcelado_Loja,27347.0,0.1876,3,PRE,H,0,1.0,0.65,27347.0
1176,Emprestimo_Pessoal,47598.19,0.264,22,PRE,A,45,0.005,0.75,47598.19
1177,Parcelado_Loja,42434.78,0.2792,22,POS-CDI,AA,0,0.001,0.65,42434.78
1178,Cartao_Credito,45754.71,0.1425,10,PRE,A,0,0.005,0.85,51330.12
1179,Emprestimo_Pessoal,40781.43,0.1561,3,PRE,A,5,0.005,0.75,40781.43
1180,Emprestimo_Pessoal,5891.46,0.1589,12,PRE,AA,0,0.001,0.75,5891.46
1181,Emprestimo_Pessoal,7875.1,0.2444,29,PRE,E,0,0.3,0.75,7875.1
1182,Parcelado_Loja,26567.88,0.2285,17,PRE,A,0,0.005,0.65,26567.88
1183,Cartao_Credito,12680.45,0.2314,7,PRE,H,0,1.0,0.85,15580.1
1184,Emprestimo_Pessoal,24096.43,0.2893,13,POS-CDI,A,0,0.005,0.75,24096.43
1185,Emprestimo_Pessoal,20021.08,0.2597,2,POS-CDI,A,0,0.005,0.75,20021.08
1186,Emprestimo_Pessoal,27696.0,0.143,4,PRE,AA,0,0.001,0.75,27696.0
1187,Parcelado_Loja,37470.35,0.1826,10,PRE,A,0,0.005,0.65,37470.35
1188,Parcelado_Loja,35916.8,0.1984,39,PRE,AA,0,0.001,0.65,35916.8
1189,Cartao_Credito,26301.09,0.1913,24,POS-CDI,C,0,0.03,0.85,30817.38
1190,Parcelado_Loja,41208.47,0.2405,17,POS-CDI,B,0,0.01,0.65,41208.47
1191,Emprestimo_Pessoal,21827.67,0.2805,6,PRE,C,0,0.03,0.75,21827.67
1192,Cartao_Credito,44887.36,0.1751,19,PRE,B,5,0.01,0.85,51449.91
1193,Emprestimo_Pessoal,4028.37,0.2193,5,POS-CDI,C,0,0.03,0.75,4028.37
1194,Emprestimo_Pessoal,47755.67,0.2621,32,PRE,AA,0,0.001,0.75,47755.67
1195,Parcelado_Loja,32907.31,0.1949,10,PRE,A,0,0.005,0.65,32907.31
1196,Cartao_Credito,19313.69,0.1503,9,PRE,A,5,0.005,0.85,21781.41
1197,Parcelado_Loja,10259.13,0.2055,27,PRE,A,0,0.005,0.65,10259.13
1198,Parcelado_Loja,24219.57,0.1299,13,PRE,B,0,0.01,0.65,24219.57
1199,Cartao_Credito,10130.64,0.2896,19,POS-CDI,AA,200,0.001,0.85,11967.3
1200,Emprestimo_Pessoal,8733.41,0.1335,21,PRE,AA,200,0.001,0.75,8733.41
1201,Emprestimo_Pessoal,31058.91,0.1989,24,PRE,E,0,0.3,0.75,31058.91
1202,Cartao_Credito,26392.69,0.2154,38,PRE,A,0,0.005,0.85,32467.25
1203,Emprestimo_Pessoal,33669.75,0.2974,4,PRE,AA,0,0.001,0.75,33669.75
1204,Cartao_Credito,46515.49,0.1499,24,PRE,B,5,0.01,0.85,56296.64
1205,Cartao_Credito,26846.88,0.1406,35,PRE,E,0,0.3,0.85,31805.75
1206,Parcelado_Loja,29256.14,0.1216,3,POS-CDI,AA,45,0.001,0.65,29256.14
1207,Cartao_Credito,4936.5,0.148,4,PRE,C,0,0.03,0.85,6123.53
1208,Parcelado_Loja,36022.97,0.1573,37,PRE,E,0,0.3,0.65,36022.97
1209,Emprestimo_Pessoal,20295.31,0.2335,40,PRE,E,0,0.3,0.75,20295.31
1210,Emprestimo_Pessoal,48847.9,0.1595,35,PRE,E,0,0.3,0.75,48847.9
1211,Emprestimo_Pessoal,41247.11,0.1237,31,POS-CDI,A,0,0.005,0.75,41247.11
1212,Emprestimo_Pessoal,26362.81,0.2688,44,PRE,AA,0,0.001,0.75,26362.81
1213,Parcelado_Loja,6599.52,0.1858,25,POS-CDI,AA,0,0.001,0.65,6599.52
1214,Emprestimo_Pessoal,43041.08,0.1837,40,PRE,AA,0,0.001,0.75,43041.08
1215,Cartao_Credito,40089.16,0.1744,13,POS-CDI,A,0,0.005,0.85,50031.16
1216,Cartao_Credito,9636.96,0.2956,4,PRE,AA,0,0.001,0.85,11342.33
1217,Cartao_Credito,15116.28,0.1506,46,PRE,AA,0,0.001,0.85,18292.5
1218,Parcelado_Loja,39773.66,0.2817,14,PRE,AA,0,0.001,0.65,39773.66
1219,Emprestimo_Pessoal,9668.81,0.2598,13,PRE,AA,0,0.001,0.75,9668.81
1220,Emprestimo_Pessoal,45928.75,0.1338,27,POS-CDI,C,5,0.03,0.75,45928.75
1221,Emprestimo_Pessoal,21514.11,0.2976,6,POS-CDI,AA,0,0.001,0.75,21514.11
1222,Parcelado_Loja,4808.43,0.1688,17,PRE,A,0,0.005,0.65,4808.43
1223,Cartao_Credito,40879.56,0.1377,36,PRE,A,0,0.005,0.85,49384.51
1224,Cartao_Credito,18988.73,0.2693,40,PRE,AA,0,0.001,0.85,23274.41
1225,Emprestimo_Pessoal,26561.71,0.2472,35,POS-CDI,F,0,0.5,0.75,26561.71
1226,Cartao_Credito,6059.07,0.2311,17,PRE,A,45,0.005,0.85,7396.17
1227,Cartao_Credito,627.91,0.1481,41,PRE,AA,5,0.001,0.85,693.51
1228,Parcelado_Loja,32080.27,0.2061,2,PRE,AA,0,0.001,0.65,32080.27
1229,Parcelado_Loja,26001.17,0.2605,13,POS-CDI,AA,0,0.001,0.65,26001.17
1230,Parcelado_Loja,29880.16,0.1747,2,PRE,AA,0,0.001,0.65,29880.16
1231,Parcelado_Loja,39790.32,0.1761,28,POS-CDI,AA,0,0.001,0.65,39790.32
1232,Emprestimo_Pessoal,32506.99,0.1206,43,POS-CDI,A,0,0.005,0.75,32506.99
1233,Parcelado_Loja,9151.29,0.1514,26,PRE,D,0,0.1,0.65,9151.29
1234,Cartao_Credito,18358.24,0.2776,22,PRE,A,0,0.005,0.85,21961.89
1235,Emprestimo_Pessoal,45341.61,0.1995,47,POS-CDI,AA,15,0.001,0.75,45341.61
1236,Cartao_Credito,38612.26,0.2972,43,PRE,AA,0,0.001,0.85,48144.94
1237,Cartao_Credito,28053.53,0.1912,3,POS-CDI,A,0,0.005,0.85,32995.46
1238,Cartao_Credito,13154.43,0.2487,35,PRE,AA,0,0.001,0.85,16359.59
1239,Parcelado_Loja,15451.99,0.1707,12,PRE,AA,5,0.001,0.65,15451.99
1240,Parcelado_Loja,36731.92,0.1855,24,POS-CDI,C,0,0.03,0.65,36731.92
1241,Emprestimo_Pessoal,42633.13,0.1543,5,PRE,AA,0,0.001,0.75,42633.13
1242,Emprestimo_Pessoal,33735.52,0.1825,20,PRE,C,0,0.03,0.75,33735.52
1243,Parcelado_Loja,40571.73,0.2185,39,POS-CDI,AA,0,0.001,0.65,40571.73
1244,Cartao_Credito,38449.48,0.2985,39,PRE,G,0,0.7,0.85,44761.82
1245,Emprestimo_Pessoal,7910.35,0.2396,13,PRE,A,0,0.005,0.75,7910.35
1246,Parcelado_Loja,21485.27,0.1559,41,PRE,B,0,0.01,0.65,21485.27
1247,Parcelado_Loja,8072.7,0.1281,45,POS-CDI,AA,0,0.001,0.65,8072.7
1248,Parcelado_Loja,12144.16,0.1427,12,POS-CDI,D,45,0.1,0.65,12144.16
1249,Cartao_Credito,43528.35,0.2213,13,PRE,C,0,0.03,0.85,51367.41
1250,Parcelado_Loja,23908.15,0.2577,10,POS-CDI,A,0,0.005,0.65,23908.15
1251,Parcelado_Loja,27000.23,0.2893,33,POS-CDI,A,0,0.005,0.65,27000.23
1252,Parcelado_Loja,9333.08,0.1228,40,PRE,B,0,0.01,0.65,9333.08
1253,Parcelado_Loja,15957.45,0.2141,16,PRE,AA,0,0.001,0.65,15957.45
1254,Emprestimo_Pessoal,11897.19,0.2048,45,PRE,A,15,0.005,0.75,11897.19
1255,Emprestimo_Pessoal,10706.22,0.2381,35,PRE,C,5,0.03,0.75,10706.22
1256,Parcelado_Loja,32079.06,0.2207,3,POS-CDI,AA,0,0.001,0.65,32079.06
1257,Cartao_Credito,13215.75,0.2437,5,POS-CDI,AA,0,0.001,0.85,15912.39
1258,Emprestimo_Pessoal,31784.77,0.2385,26,PRE,A,0,0.005,0.75,31784.77
1259,Parcelado_Loja,3393.5,0.1411,11,PRE,B,0,0.01,0.65,3393.5
1260,Emprestimo_Pessoal,7517.83,0.2639,7,PRE,AA,0,0.001,0.75,7517.83
1261,Emprestimo_Pessoal,14089.74,0.1422,10,PRE,AA,0,0.001,0.75,14089.74
1262,Cartao_Credito,30053.82,0.2457,42,PRE,AA,45,0.001,0.85,34238.28
1263,Parcelado_Loja,33954.14,0.1949,34,PRE,B,0,0.01,0.65,33954.14
1264,Parcelado_Loja,22414.49,0.2125,3,PRE,AA,0,0.001,0.65,22414.49
1265,Cartao_Credito,22566.65,0.2826,8,PRE,A,5,0.005,0.85,26661.5
1266,Cartao_Credito,36363.58,0.2802,31,POS-CDI,AA,0,0.001,0.85,43110.92
1267,Parcelado_Loja,1283.14,0.2672,11,PRE,B,0,0.01,0.65,1283.14
1268,Parcelado_Loja,17383.96,0.2118,45,PRE,F,0,0.5,0.65,17383.96
1269,Cartao_Credito,41026.0,0.2525,7,PRE,AA,0,0.001,0.85,50377.88
1270,Emprestimo_Pessoal,30359.36,0.2123,45,PRE,AA,45,0.001,0.75,30359.36
1271,Emprestimo_Pessoal,17192.74,0.2765,2,PRE,C,15,0.03,0.75,17192.74
1272,Cartao_Credito,45323.48,0.1925,6,PRE,AA,15,0.001,0.85,54301.16
1273,Emprestimo_Pessoal,38744.83,0.2946,41,POS-CDI,AA,5,0.001,0.75,38744.83
1274,Cartao_Credito,13612.32,0.2878,32,PRE,C,0,0.03,0.85,15170.09
1275,Emprestimo_Pessoal,32441.85,0.2535,20,POS-CDI,G,15,0.7,0.75,32441.85
1276,Emprestimo_Pessoal,29989.66,0.1703,34,POS-CDI,A,100,0.005,0.75,29989.66
1277,Parcelado_Loja,20358.8,0.1437,16,POS-CDI,AA,0,0.001,0.65,20358.8
1278,Parcelado_Loja,18664.33,0.2738,25,PRE,AA,0,0.001,0.65,18664.33
1279,Emprestimo_Pessoal,17506.24,0.1498,12,POS-CDI,AA,0,0.001,0.75,17506.24
1280,Emprestimo_Pessoal,31049.21,0.2738,7,PRE,B,0,0.01,0.75,31049.21
1281,Parcelado_Loja,22399.29,0.2083,39,PRE,B,0,0.01,0.65,22399.29
1282,Parcelado_Loja,41677.22,0.1932,17,POS-CDI,D,15,0.1,0.65,41677.22
1283,Parcelado_Loja,33645.33,0.2826,45,PRE,AA,15,0.001,0.65,33645.33
1284,Cartao_Credito,3961.61,0.2287,11,PRE,A,0,0.005,0.85,4395.42
1285,Emprestimo_Pessoal,32188.33,0.2238,6,PRE,AA,0,0.001,0.75,32188.33
1286,Parcelado_Loja,13921.8,0.2206,23,PRE,AA,5,0.001,0.65,13921.8
1287,Emprestimo_Pessoal,29844.19,0.1868,27,PRE,B,0,0.01,0.75,29844.19
1288,Cartao_Credito,34166.53,0.2614,46,PRE,AA,0,0.001,0.85,40366.25
